Country,Population,Yearly Change,Net Change,Density,Land_Area,Net_Migrants,Fertility_Rate,Median_Age,Urban_Pop_Percent,World_Share,Migration_Rate_per_1000,Continent
India,1463865525,0.89,12929734,492,2973190,495753,1.94,28.8,37.1,17.78,0.33866020582730777,Asia
China,1416096094,0.23,3225184,151,9388211,268126,1.02,40.1,67.5,17.2,0.18934167048129716,Asia
United States,347275807,0.54,1849236,38,9147420,1230663,1.62,38.5,82.8,4.22,3.543762551820951,North America
Indonesia,285721236,0.79,2233305,158,1811570,39509,2.1,30.4,59.6,3.47,0.13827813624605767,Asia
Pakistan,255219554,1.57,3950390,331,770880,1235336,3.5,20.6,34.4,3.1,4.840287433462093,Asia
Nigeria,237527782,2.08,4848304,261,910770,15258,4.3,18.1,54.9,2.89,0.06423669632043295,Africa
Brazil,212812405,0.38,813832,25,8358140,217283,1.6,34.8,91.4,2.59,1.0210072105524113,South America
Bangladesh,175686899,1.22,2124535,1350,130170,402100,2.11,26.0,42.6,2.13,2.2887307038187292,Asia
Russia,143997393,0.57,823030,9,16376870,251822,1.47,40.3,75.0,1.75,1.7487955493749807,Europe
Ethiopia,135472051,2.58,3412284,135,1000000,24054,3.81,19.1,22.5,1.65,0.17755691910208105,Africa
Mexico,131946900,0.83,1085893,68,1943950,108037,1.87,29.6,87.9,1.6,0.8187914987013716,North America
Japan,123103479,0.52,649562,338,364555,140579,1.23,49.8,93.1,1.5,1.141957978295642,Asia
Egypt,118365995,1.57,1827737,119,995450,57305,2.71,24.5,40.9,1.44,0.48413397783713136,Africa
Philippines,116786962,0.81,943292,392,298170,149315,1.88,26.1,49.3,1.42,1.278524566809093,Asia
DR Congo,112832473,3.25,3556208,50,2267050,27309,5.9,15.8,45.0,1.37,0.24203138754213072,Africa
Vietnam,101598527,0.6,610841,328,310070,48171,1.88,33.4,41.4,1.23,0.4741308897126038,Asia
Iran,92417681,0.93,849943,57,1628550,116786,1.67,34.0,73.3,1.12,1.2636759409706462,Asia
Turkey,87685426,0.24,211621,114,769630,258205,1.62,33.5,76.9,1.07,2.9446740670450753,Asia
Germany,84075075,0.56,477167,241,348560,334072,1.46,45.5,76.5,1.02,3.973496306723485,Europe
Thailand,71619863,0.07,48148,140,510890,27509,1.2,40.6,53.5,0.87,0.384097355785224,Asia
Tanzania,70545865,2.9,1985708,80,885800,12730,4.47,17.5,40.0,0.86,0.18044998101589654,Africa
United Kingdom,69551332,0.6,413140,287,241930,389911,1.54,40.1,84.5,0.84,5.606089614502279,Europe
France,66650804,0.15,102274,122,547557,91737,1.64,42.3,82.5,0.81,1.3763824964512057,Europe
South Africa,64747319,1.16,740132,53,1213090,146370,2.19,28.7,66.6,0.79,2.260634143013705,Africa
Italy,59146260,0.33,196607,201,294140,75448,1.21,48.2,72.0,0.72,1.2756174270359615,Europe
